
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
AL212020 VICKY, Start: 2020-09-14 00:00:00 End: 2020-09-19 18:00:00 Duration: 5 days 18 hours, Max Wind: 45 knots, Min Pressure: 1001 mb, Landfalls: 0
AL222020 BETA, Start: 2020-09-17 06:00:00 End: 2020-09-25 06:00:00 Duration: 8 days 0 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
AL232020 WILFRED, Start: 2020-09-17 00:00:00 End: 2020-09-21 00:00:00 Duration: 4 days 0 hours, Max Wind: 35 knots, Min Pressure: 1006 mb, Landfalls: 0
AL242020 ALPHA, Start: 2020-09-14 12:00:00 End: 2020-09-19 00:00:00 Duration: 4 days 12 hours, Max Wind: 60 knots, Min Pressure: 992 mb, Landfalls: 0
AL252020 GAMMA, Start: 2020-10-02 00:00:00 End: 2020-10-06 12:00:00 Duration: 4 days 12 hours, Max Wind: 65 knots, Min Pressure: 978 mb, Landfalls: 1
AL262020 DELTA, Start: 2020-10-04 18:00:00 End: 2020-10-11 18:00:00 Duration: 7 days 0 hours, Max Wind: 120 knots, Min Pressure: 953 mb, Landfalls: 2
AL272020 EPSILON, Start: 2020-10-16 12:00:00 End: 2020-10-26 12:00:00 Duration: 10 days 0 hours, Max Wind: 100 knots, Min Pressure: 952 mb, Landfalls: 0
AL282020 ZETA, Start: 2020-10-24 12:00:00 End: 2020-10-30 00:00:00 Duration: 5 days 12 hours, Max Wind: 100 knots, Min Pressure: 970 mb, Landfalls: 2
AL292020 ETA, Start: 2020-10-31 18:00:00 End: 2020-11-14 00:00:00 Duration: 13 days 6 hours, Max Wind: 130 knots, Min Pressure: 922 mb, Landfalls: 1
AL302020 THETA, Start: 2020-11-08 12:00:00 End: 2020-11-16 12:00:00 Duration: 8 days 0 hours, Max Wind: 60 knots, Min Pressure: 987 mb, Landfalls: 0
AL312020 IOTA, Start: 2020-11-12 12:00:00 End: 2020-11-18 12:00:00 Duration: 6 days 0 hours, Max Wind: 135 knots, Min Pressure: 917 mb, Landfalls: 1
AL012021 ANA, Start: 2021-05-20 00:00:00 End: 2021-05-24 00:00:00 Duration: 4 days 0 hours, Max Wind: 50 knots, Min Pressure: 1004 mb, Landfalls: 0
AL022021 BILL, Start: 2021-06-13 18:00:00 End: 2021-06-16 00:00:00 Duration: 2 days 6 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
AL032021 CLAUDETTE, Start: 2021-06-17 18:00:00 End: 2021-06-23 00:00:00 Duration: 5 days 6 hours, Max Wind: 40 knots, Min Pressure: 1003 mb, Landfalls: 0
AL042021 DANNY, Start: 2021-06-27 18:00:00 End: 2021-06-29 00:00:00 Duration: 1 days 6 hours, Max Wind: 40 knots, Min Pressure: 1009 mb, Landfalls: 0
AL052021 ELSA, Start: 2021-06-30 18:00:00 End: 2021-07-10 06:00:00 Duration: 9 days 12 hours, Max Wind: 75 knots, Min Pressure: 991 mb, Landfalls: 0
AL062021 FRED, Start: 2021-08-09 18:00:00 End: 2021-08-20 06:00:00 Duration: 10 days 12 hours, Max Wind: 55 knots, Min Pressure: 991 mb, Landfalls: 0
AL072021 GRACE, Start: 2021-08-13 06:00:00 End: 2021-08-21 12:00:00 Duration: 8 days 6 hours, Max Wind: 105 knots, Min Pressure: 967 mb, Landfalls: 2
AL082021 HENRI, Start: 2021-08-15 00:00:00 End: 2021-08-24 18:00:00 Duration: 9 days 18 hours, Max Wind: 65 knots, Min Pressure: 986 mb, Landfalls: 0
AL092021 IDA, Start: 2021-08-26 12:00:00 End: 2021-09-04 18:00:00 Duration: 9 days 6 hours, Max Wind: 130 knots, Min Pressure: 929 mb, Landfalls: 3
AL102021 KATE, Start: 2021-08-27 12:00:00 End: 2021-09-01 12:00:00 Duration: 5 days 0 hours, Max Wind: 40 knots, Min Pressure: 1004 mb, Landfalls: 0
AL112021 JULIAN, Start: 2021-08-28 12:00:00 End: 2021-08-31 12:00:00 Duration: 3 days 0 hours, Max Wind: 50 knots, Min Pressure: 993 mb, Landfalls: 0
AL122021 LARRY, Start: 2021-08-31 18:00:00 End: 2021-09-11 18:00:00 Duration: 11 days 0 hours, Max Wind: 110 knots, Min Pressure: 953 mb, Landfalls: 1
AL132021 MINDY, Start: 2021-09-08 18:00:00 End: 2021-09-10 18:00:00 Duration: 2 days 0 hours, Max Wind: 50 knots, Min Pressure: 1000 mb, Landfalls: 0
AL142021 NICHOLAS, Start: 2021-09-12 12:00:00 End: 2021-09-17 06:00:00 Duration: 4 days 18 hours, Max Wind: 65 knots, Min Pressure: 988 mb, Landfalls: 1
AL152021 ODETTE, Start: 2021-09-16 06:00:00 End: 2021-09-26 18:00:00 Duration: 10 days 12 hours, Max Wind: 55 knots, Min Pressure: 989 mb, Landfalls: 0
AL162021 PETER, Start: 2021-09-19 00:00:00 End: 2021-09-22 18:00:00 Duration: 3 days 18 hours, Max Wind: 45 knots, Min Pressure: 1005 mb, Landfalls: 0
AL172021 ROSE, Start: 2021-09-19 00:00:00 End: 2021-09-24 06:00:00 Duration: 5 days 6 hours, Max Wind: 50 knots, Min Pressure: 1004 mb, Landfalls: 0
AL182021 SAM, Start: 2021-09-22 18:00:00 End: 2021-10-07 06:00:00 Duration: 14 days 12 hours, Max Wind: 135 knots, Min Pressure: 927 mb, Landfalls: 0
AL192021 TERESA, Start: 2021-09-24 06:00:00 End: 2021-09-26 12:00:00 Duration: 2 days 6 hours, Max Wind: 40 knots, Min Pressure: 1008 mb, Landfalls: 0
AL202021 VICTOR, Start: 2021-09-29 00:00:00 End: 2021-10-04 06:00:00 Duration: 5 days 6 hours, Max Wind: 55 knots, Min Pressure: 997 mb, Landfalls: 0
AL212021 WANDA, Start: 2021-10-25 18:00:00 End: 2021-11-08 00:00:00 Duration: 13 days 6 hours, Max Wind: 60 knots, Min Pressure: 973 mb, Landfalls: 0
AL012022 ALEX, Start: 2022-06-02 18:00:00 End: 2022-06-06 18:00:00 Duration: 4 days 0 hours, Max Wind: 60 knots, Min Pressure: 984 mb, Landfalls: 0
AL022022 BONNIE, Start: 2022-06-27 18:00:00 End: 2022-07-11 00:00:00 Duration: 13 days 6 hours, Max Wind: 100 knots, Min Pressure: 964 mb, Landfalls: 0
AL032022 COLIN, Start: 2022-07-01 18:00:00 End: 2022-07-02 18:00:00 Duration: 1 days 0 hours, Max Wind: 35 knots, Min Pressure: 1011 mb, Landfalls: 0
AL052022 DANIELLE, Start: 2022-08-31 12:00:00 End: 2022-09-15 18:00:00 Duration: 15 days 6 hours, Max Wind: 75 knots, Min Pressure: 972 mb, Landfalls: 0
AL062022 EARL, Start: 2022-09-02 18:00:00 End: 2022-09-15 12:00:00 Duration: 12 days 18 hours, Max Wind: 95 knots, Min Pressure: 948 mb, Landfalls: 0
AL072022 FIONA, Start: 2022-09-14 06:00:00 End: 2022-09-27 18:00:00 Duration: 13 days 12 hours, Max Wind: 120 knots, Min Pressure: 931 mb, Landfalls: 4
AL082022 GASTON, Start: 2022-09-19 12:00:00 End: 2022-09-27 18:00:00 Duration: 8 days 6 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
AL092022 IAN, Start: 2022-09-22 18:00:00 End: 2022-10-01 06:00:00 Duration: 8 days 12 hours, Max Wind: 140 knots, Min Pressure: 937 mb, Landfalls: 5
AL102022 HERMINE, Start: 2022-09-23 06:00:00 End: 2022-09-26 00:00:00 Duration: 2 days 18 hours, Max Wind: 35 knots, Min Pressure: 1003 mb, Landfalls: 0
AL112022 ELEVEN, Start: 2022-09-26 18:00:00 End: 2022-09-29 12:00:00 Duration: 2 days 18 hours, Max Wind: 30 knots, Min Pressure: 1008 mb, Landfalls: 0
AL122022 TWELVE, Start: 2022-10-04 12:00:00 End: 2022-10-06 18:00:00 Duration: 2 days 6 hours, Max Wind: 30 knots, Min Pressure: 1007 mb, Landfalls: 0
AL132022 JULIA, Start: 2022-10-06 12:00:00 End: 2022-10-10 12:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: 982 mb, Landfalls: 1
AL142022 KARL, Start: 2022-10-11 12:00:00 End: 2022-10-15 18:00:00 Duration: 4 days 6 hours, Max Wind: 50 knots, Min Pressure: 997 mb, Landfalls: 0
AL152022 LISA, Start: 2022-10-30 18:00:00 End: 2022-11-05 06:00:00 Duration: 5 days 12 hours, Max Wind: 80 knots, Min Pressure: 985 mb, Landfalls: 1
AL162022 MARTIN, Start: 2022-10-30 18:00:00 End: 2022-11-04 18:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: 932 mb, Landfalls: 0
AL172022 NICOLE, Start: 2022-11-06 12:00:00 End: 2022-11-11 18:00:00 Duration: 5 days 6 hours, Max Wind: 65 knots, Min Pressure: 980 mb, Landfalls: 2
AL012023 UNNAMED, Start: 2023-01-15 00:00:00 End: 2023-01-18 06:00:00 Duration: 3 days 6 hours, Max Wind: 60 knots, Min Pressure: 976 mb, Landfalls: 0
AL022023 ARLENE, Start: 2023-05-31 18:00:00 End: 2023-06-04 06:00:00 Duration: 3 days 12 hours, Max Wind: 35 knots, Min Pressure: 998 mb, Landfalls: 0
AL032023 BRET, Start: 2023-06-19 06:00:00 End: 2023-06-24 12:00:00 Duration: 5 days 6 hours, Max Wind: 60 knots, Min Pressure: 996 mb, Landfalls: 0
AL042023 CINDY, Start: 2023-06-22 00:00:00 End: 2023-06-26 00:00:00 Duration: 4 days 0 hours, Max Wind: 50 knots, Min Pressure: 1004 mb, Landfalls: 0
AL052023 DON, Start: 2023-07-11 12:00:00 End: 2023-07-25 18:00:00 Duration: 14 days 6 hours, Max Wind: 65 knots, Min Pressure: 986 mb, Landfalls: 0
AL062023 GERT, Start: 2023-08-19 00:00:00 End: 2023-09-04 12:00:00 Duration: 16 days 12 hours, Max Wind: 50 knots, Min Pressure: 998 mb, Landfalls: 0
AL072023 EMILY, Start: 2023-08-18 12:00:00 End: 2023-08-25 06:00:00 Duration: 6 days 18 hours, Max Wind: 45 knots, Min Pressure: 998 mb, Landfalls: 0
AL082023 FRANKLIN, Start: 2023-08-19 18:00:00 End: 2023-09-09 18:00:00 Duration: 21 days 0 hours, Max Wind: 130 knots, Min Pressure: 926 mb, Landfalls: 0
AL092023 HAROLD, Start: 2023-08-21 12:00:00 End: 2023-08-23 12:00:00 Duration: 2 days 0 hours, Max Wind: 50 knots, Min Pressure: 995 mb, Landfalls: 0
AL102023 IDALIA, Start: 2023-08-26 12:00:00 End: 2023-09-08 06:00:00 Duration: 12 days 18 hours, Max Wind: 115 knots, Min Pressure: 942 mb, Landfalls: 1
AL112023 JOSE, Start: 2023-08-29 00:00:00 End: 2023-09-01 18:00:00 Duration: 3 days 18 hours, Max Wind: 55 knots, Min Pressure: 996 mb, Landfalls: 0
AL122023 KATIA, Start: 2023-08-30 00:00:00 End: 2023-09-15 12:00:00 Duration: 16 days 12 hours, Max Wind: 50 knots, Min Pressure: 998 mb, Landfalls: 0
AL132023 LEE, Start: 2023-09-05 12:00:00 End: 2023-09-18 18:00:00 Duration: 13 days 6 hours, Max Wind: 145 knots, Min Pressure: 926 mb, Landfalls: 0
AL142023 MARGOT, Start: 2023-09-07 12:00:00 End: 2023-09-18 18:00:00 Duration: 11 days 6 hours, Max Wind: 80 knots, Min Pressure: 969 mb, Landfalls: 0
AL152023 NIGEL, Start: 2023-09-15 06:00:00 End: 2023-09-26 12:00:00 Duration: 11 days 6 hours, Max Wind: 85 knots, Min Pressure: 958 mb, Landfalls: 0
AL162023 OPHELIA, Start: 2023-09-21 12:00:00 End: 2023-09-24 18:00:00 Duration: 3 days 6 hours, Max Wind: 60 knots, Min Pressure: 981 mb, Landfalls: 0
AL172023 PHILIPPE, Start: 2023-09-23 06:00:00 End: 2023-10-06 06:00:00 Duration: 13 days 0 hours, Max Wind: 50 knots, Min Pressure: 998 mb, Landfalls: 0
AL182023 RINA, Start: 2023-09-28 06:00:00 End: 2023-10-02 00:00:00 Duration: 3 days 18 hours, Max Wind: 45 knots, Min Pressure: 999 mb, Landfalls: 0
AL192023 SEAN, Start: 2023-10-10 18:00:00 End: 2023-10-16 18:00:00 Duration: 6 days 0 hours, Max Wind: 40 knots, Min Pressure: 1005 mb, Landfalls: 0
AL202023 TAMMY, Start: 2023-10-18 18:00:00 End: 2023-10-31 18:00:00 Duration: 13 days 0 hours, Max Wind: 95 knots, Min Pressure: 965 mb, Landfalls: 1
AL212023 TWENTY-ONE, Start: 2023-10-23 12:00:00 End: 2023-10-24 12:00:00 Duration: 1 days 0 hours, Max Wind: 25 knots, Min Pressure: 1007 mb, Landfalls: 0
EP011949 UNNAMED, Start: 1949-06-11 00:00:00 End: 1949-06-12 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021949 UNNAMED, Start: 1949-06-17 12:00:00 End: 1949-06-23 12:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031949 UNNAMED, Start: 1949-09-03 12:00:00 End: 1949-09-09 12:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041949 UNNAMED, Start: 1949-09-09 12:00:00 End: 1949-09-11 12:00:00 Duration: 2 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051949 UNNAMED, Start: 1949-09-17 12:00:00 End: 1949-09-19 12:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061949 UNNAMED, Start: 1949-09-29 00:00:00 End: 1949-09-30 12:00:00 Duration: 1 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011950 UNNAMED, Start: 1950-06-14 12:00:00 End: 1950-06-19 12:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021950 UNNAMED, Start: 1950-07-03 12:00:00 End: 1950-07-06 12:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP031950 UNNAMED, Start: 1950-07-09 12:00:00 End: 1950-07-12 12:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP011950 HIKI, Start: 1950-08-12 00:00:00 End: 1950-08-21 12:00:00 Duration: 9 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041950 UNNAMED, Start: 1950-08-12 12:00:00 End: 1950-08-13 12:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051950 UNNAMED, Start: 1950-08-26 12:00:00 End: 1950-08-30 12:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP061950 UNNAMED, Start: 1950-10-01 12:00:00 End: 1950-10-03 12:00:00 Duration: 2 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011951 UNNAMED, Start: 1951-05-17 12:00:00 End: 1951-05-21 00:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021951 UNNAMED, Start: 1951-06-01 00:00:00 End: 1951-06-02 00:00:00 Duration: 1 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP031951 UNNAMED, Start: 1951-06-26 12:00:00 End: 1951-06-27 12:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041951 UNNAMED, Start: 1951-07-05 12:00:00 End: 1951-07-06 12:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051951 UNNAMED, Start: 1951-08-03 12:00:00 End: 1951-08-10 12:00:00 Duration: 7 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061951 UNNAMED, Start: 1951-08-24 12:00:00 End: 1951-08-29 12:00:00 Duration: 5 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071951 UNNAMED, Start: 1951-09-11 12:00:00 End: 1951-09-15 12:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081951 UNNAMED, Start: 1951-09-23 12:00:00 End: 1951-09-28 12:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP091951 UNNAMED, Start: 1951-11-27 12:00:00 End: 1951-11-30 12:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011952 UNNAMED, Start: 1952-05-29 12:00:00 End: 1952-05-31 12:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021952 UNNAMED, Start: 1952-06-12 12:00:00 End: 1952-06-16 12:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031952 UNNAMED, Start: 1952-07-19 00:00:00 End: 1952-07-21 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041952 UNNAMED, Start: 1952-07-24 00:00:00 End: 1952-07-27 00:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051952 UNNAMED, Start: 1952-09-15 12:00:00 End: 1952-09-22 12:00:00 Duration: 7 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP061952 UNNAMED, Start: 1952-09-26 12:00:00 End: 1952-09-28 12:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071952 UNNAMED, Start: 1952-10-13 12:00:00 End: 1952-10-15 12:00:00 Duration: 2 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011953 UNNAMED, Start: 1953-08-25 00:00:00 End: 1953-08-27 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021953 UNNAMED, Start: 1953-09-09 12:00:00 End: 1953-09-10 12:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031953 UNNAMED, Start: 1953-09-14 00:00:00 End: 1953-09-17 00:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041953 UNNAMED, Start: 1953-10-02 00:00:00 End: 1953-10-08 00:00:00 Duration: 6 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011954 UNNAMED, Start: 1954-06-18 00:00:00 End: 1954-06-22 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021954 UNNAMED, Start: 1954-07-10 00:00:00 End: 1954-07-16 00:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031954 UNNAMED, Start: 1954-07-12 00:00:00 End: 1954-07-17 12:00:00 Duration: 5 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041954 UNNAMED, Start: 1954-07-25 00:00:00 End: 1954-08-01 12:00:00 Duration: 7 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051954 UNNAMED, Start: 1954-09-02 00:00:00 End: 1954-09-09 00:00:00 Duration: 7 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061954 UNNAMED, Start: 1954-09-05 00:00:00 End: 1954-09-08 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071954 UNNAMED, Start: 1954-09-15 12:00:00 End: 1954-09-21 12:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: 981 mb, Landfalls: 0
EP081954 UNNAMED, Start: 1954-09-21 00:00:00 End: 1954-09-27 12:00:00 Duration: 6 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091954 UNNAMED, Start: 1954-09-27 00:00:00 End: 1954-10-01 00:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP101954 UNNAMED, Start: 1954-10-12 06:00:00 End: 1954-10-14 12:00:00 Duration: 2 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP111954 UNNAMED, Start: 1954-10-26 12:00:00 End: 1954-11-01 12:00:00 Duration: 6 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011955 UNNAMED, Start: 1955-06-06 00:00:00 End: 1955-06-08 12:00:00 Duration: 2 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021955 UNNAMED, Start: 1955-06-08 00:00:00 End: 1955-06-11 00:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031955 UNNAMED, Start: 1955-07-06 12:00:00 End: 1955-07-09 00:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041955 UNNAMED, Start: 1955-09-01 00:00:00 End: 1955-09-05 00:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051955 UNNAMED, Start: 1955-10-01 00:00:00 End: 1955-10-04 00:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061955 UNNAMED, Start: 1955-10-15 18:00:00 End: 1955-10-16 18:00:00 Duration: 1 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011956 UNNAMED, Start: 1956-05-18 12:00:00 End: 1956-05-19 12:00:00 Duration: 1 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021956 UNNAMED, Start: 1956-05-30 00:00:00 End: 1956-06-03 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031956 UNNAMED, Start: 1956-06-09 06:00:00 End: 1956-06-10 18:00:00 Duration: 1 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041956 UNNAMED, Start: 1956-06-12 12:00:00 End: 1956-06-14 00:00:00 Duration: 1 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051956 UNNAMED, Start: 1956-07-09 00:00:00 End: 1956-07-12 00:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP061956 UNNAMED, Start: 1956-07-14 12:00:00 End: 1956-07-16 12:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071956 UNNAMED, Start: 1956-08-22 12:00:00 End: 1956-08-25 12:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP081956 UNNAMED, Start: 1956-09-03 00:00:00 End: 1956-09-03 18:00:00 Duration: 0 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091956 UNNAMED, Start: 1956-09-04 00:00:00 End: 1956-09-06 12:00:00 Duration: 2 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP101956 UNNAMED, Start: 1956-09-12 12:00:00 End: 1956-09-17 00:00:00 Duration: 4 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP111956 UNNAMED, Start: 1956-10-16 12:00:00 End: 1956-10-18 00:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011957 KANOA, Start: 1957-07-15 00:00:00 End: 1957-07-26 00:00:00 Duration: 11 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021957 UNNAMED, Start: 1957-08-06 00:00:00 End: 1957-08-16 00:00:00 Duration: 10 days 0 hours, Max Wind: 90 knots, Min Pressure: 987 mb, Landfalls: 0
EP031957 UNNAMED, Start: 1957-08-09 00:00:00 End: 1957-08-15 12:00:00 Duration: 6 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP011957 DELLA, Start: 1957-09-01 00:00:00 End: 1957-09-12 18:00:00 Duration: 11 days 18 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP041957 UNNAMED, Start: 1957-09-09 00:00:00 End: 1957-09-11 06:00:00 Duration: 2 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051957 UNNAMED, Start: 1957-09-17 00:00:00 End: 1957-09-18 18:00:00 Duration: 1 days 18 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP061957 UNNAMED, Start: 1957-09-20 12:00:00 End: 1957-09-23 00:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
CP021957 UNNAMED, Start: 1957-09-25 00:00:00 End: 1957-09-28 00:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071957 UNNAMED, Start: 1957-09-26 18:00:00 End: 1957-09-27 12:00:00 Duration: 0 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081957 UNNAMED, Start: 1957-10-01 12:00:00 End: 1957-10-06 12:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP091957 UNNAMED, Start: 1957-10-17 12:00:00 End: 1957-10-20 00:00:00 Duration: 2 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP101957 UNNAMED, Start: 1957-10-20 12:00:00 End: 1957-10-22 12:00:00 Duration: 2 days 0 hours, Max Wind: 120 knots, Min Pressure: N/A mb, Landfalls: 0
CP031957 NINA, Start: 1957-11-29 00:00:00 End: 1957-12-06 12:00:00 Duration: 7 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011958 UNNAMED, Start: 1958-06-06 00:00:00 End: 1958-06-16 00:00:00 Duration: 10 days 0 hours, Max Wind: 75 knots, Min Pressure: 992 mb, Landfalls: 0
EP021958 UNNAMED, Start: 1958-06-13 00:00:00 End: 1958-06-15 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031958 UNNAMED, Start: 1958-07-19 00:00:00 End: 1958-07-21 12:00:00 Duration: 2 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041958 UNNAMED, Start: 1958-07-21 12:00:00 End: 1958-07-25 12:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051958 UNNAMED, Start: 1958-07-26 12:00:00 End: 1958-07-30 00:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061958 UNNAMED, Start: 1958-07-31 12:00:00 End: 1958-08-01 12:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
CP011958 UNNAMED, Start: 1958-08-07 00:00:00 End: 1958-08-09 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071958 UNNAMED, Start: 1958-08-13 00:00:00 End: 1958-08-14 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
